date,value
1/1/2020,7254.330611
1/2/2020,7212.155253
1/3/2020,7413.715099
1/4/2020,7427.385794
1/5/2020,7544.496872
1/6/2020,7781.867183
1/7/2020,8178.215873
1/8/2020,8396.737881
1/9/2020,8082.296074
1/10/2020,8166.55414
1/11/2020,8218.358937
1/12/2020,8200.06347
1/13/2020,8197.788179
1/14/2020,8879.511527
1/15/2020,8890.11742
1/16/2020,8846.461099
1/17/2020,8958.121952
1/18/2020,9012.198106
1/19/2020,9164.36226
1/20/2020,8745.590797
1/21/2020,8755.706296
1/22/2020,8792.993871
1/23/2020,8687.747088
1/24/2020,8514.667035
1/25/2020,8458.453015
1/26/2020,8602.401246
1/27/2020,8977.726962
1/28/2020,9358.590317
1/29/2020,9406.431793
1/30/2020,9553.126133
1/31/2020,9521.705926
2/1/2020,9439.323332
2/2/2020,9468.797618
2/3/2020,9540.371738
2/4/2020,9331.265817
2/5/2020,9701.300037
2/6/2020,9824.619261
2/7/2020,9834.71679
2/8/2020,9876.749341
2/9/2020,10129.43516
2/10/2020,10165.76536
2/11/2020,10210.05264
2/12/2020,10393.61172
2/13/2020,10457.6272
2/14/2020,10321.9958
2/15/2020,10341.5559
2/16/2020,10053.96901
2/17/2020,9938.81578
2/18/2020,10161.93531
2/19/2020,10191.67585
2/20/2020,9643.216731
2/21/2020,9723.014985
2/22/2020,9698.231123
2/23/2020,9937.404106
2/24/2020,9951.746149
2/25/2020,9652.736865
2/26/2020,9354.77831
2/27/2020,8932.893047
2/28/2020,8890.456005
2/29/2020,8775.632012
3/1/2020,8726.79676
3/2/2020,8921.308395
3/3/2020,8901.598683
3/4/2020,8843.36575
3/5/2020,9142.054296
3/6/2020,9167.695796
3/7/2020,9163.221096
3/8/2020,8914.344155
3/9/2020,8177.793224
3/10/2020,8136.945223
3/11/2020,7950.814356
3/12/2020,7929.116019
3/13/2020,5838.114937
3/14/2020,5625.226505
3/15/2020,5836.645006
3/16/2020,5385.229522
3/17/2020,5371.348516
3/18/2020,5331.83386
3/19/2020,6329.735948
3/20/2020,6844.261528
3/21/2020,6378.135171
3/22/2020,6359.69729
3/23/2020,6443.934547
3/24/2020,6789.022724
3/25/2020,6892.511359
3/26/2020,6735.463879
3/27/2020,6793.836197
3/28/2020,6467.501165
3/29/2020,6250.467309
3/30/2020,6517.195789
3/31/2020,6504.515324
4/1/2020,6612.573791
4/2/2020,7088.247324
4/3/2020,7003.220784
4/4/2020,6878.953518
4/5/2020,6883.414143
4/6/2020,7271.781153
4/7/2020,7427.93934
4/8/2020,7356.223864
4/9/2020,7341.448314
4/10/2020,7303.815198
4/11/2020,6926.069634
4/12/2020,7119.947062
4/13/2020,6965.616638
4/14/2020,6958.557224
4/15/2020,6928.66437
4/16/2020,7134.450528
4/17/2020,7167.182988
4/18/2020,7269.956531
4/19/2020,7280.521782
4/20/2020,7240.290597
4/21/2020,6934.551871
4/22/2020,7145.865745
4/23/2020,7491.78493
4/24/2020,7574.196026
4/25/2020,7641.363977
4/26/2020,7700.594295
4/27/2020,7795.600835
4/28/2020,7814.527141
4/29/2020,8871.753727
4/30/2020,9440.650673
5/1/2020,9048.023833
5/2/2020,9007.187803
5/3/2020,9167.781344
5/4/2020,8956.906519
5/5/2020,9062.414564
5/6/2020,9411.46787
5/7/2020,9992.663921
5/8/2020,9996.743353
5/9/2020,9913.862993
5/10/2020,9595.580629
5/11/2020,9033.471176
5/12/2020,8949.897979
5/13/2020,9317.878554
5/14/2020,9793.268209
5/15/2020,9755.828498
5/16/2020,9564.204989
5/17/2020,9823.002288
5/18/2020,9906.030203
5/19/2020,9836.047524
5/20/2020,9804.793888
5/21/2020,9555.242175
5/22/2020,9232.936093
5/23/2020,9302.501649
5/24/2020,9288.404016
5/25/2020,8951.005638
5/26/2020,8991.967626
5/27/2020,9203.320515
5/28/2020,9546.319602
5/29/2020,9573.666817
5/30/2020,9704.030309
5/31/2020,9700.343895
6/1/2020,10199.56497
6/2/2020,10182.34071
6/3/2020,9682.85947
6/4/2020,9887.610629
6/5/2020,9869.236906
6/6/2020,9773.432016
6/7/2020,9768.497902
6/8/2020,9782.306497
6/9/2020,9836.368969
6/10/2020,9908.896559
6/11/2020,9938.297674
6/12/2020,9540.465393
6/13/2020,9493.211715
6/14/2020,9482.270936
6/15/2020,9504.860065
6/16/2020,9579.430375
6/17/2020,9540.423271
6/18/2020,9482.781986
6/19/2020,9440.876034
6/20/2020,9394.971594
6/21/2020,9401.107497
6/22/2020,9655.073218
6/23/2020,9670.540762
6/24/2020,9680.367146
6/25/2020,9340.161506
6/26/2020,9310.516382
6/27/2020,9207.810983
6/28/2020,9197.547017
6/29/2020,9237.572755
6/30/2020,9217.836013
7/1/2020,9309.754864
7/2/2020,9274.962923
7/3/2020,9202.344384
7/4/2020,9183.295583
7/5/2020,9162.183232
7/6/2020,9375.474759
7/7/2020,9360.617575
7/8/2020,9450.335672
7/9/2020,9431.378581
7/10/2020,9287.471594
7/11/2020,9293.532681
7/12/2020,9319.419417
7/13/2020,9306.40493
7/14/2020,9283.842142
7/15/2020,9275.325125
7/16/2020,9214.312698
7/17/2020,9182.254308
7/18/2020,9230.983505
7/19/2020,9201.398483
7/20/2020,9214.270629
7/21/2020,9407.263056
7/22/2020,9530.519009
7/23/2020,9610.247125
7/24/2020,9623.337032
7/25/2020,9704.557013
7/26/2020,10023.80766
7/27/2020,11298.22176
7/28/2020,11204.3276
7/29/2020,11304.39707
7/30/2020,11169.35667
7/31/2020,11415.8639
8/1/2020,11794.77539
8/2/2020,12034.14415
8/3/2020,11453.07872
8/4/2020,11385.38157
8/5/2020,11786.6169
8/6/2020,11902.33597
8/7/2020,11898.03841
8/8/2020,11800.06485
8/9/2020,11806.05628
8/10/2020,12045.14032
8/11/2020,11932.71117
8/12/2020,11748.39649
8/13/2020,11796.39619
8/14/2020,12150.99367
8/15/2020,11963.20306
8/16/2020,11934.90092
8/17/2020,12359.05702
8/18/2020,12335.70707
8/19/2020,12028.92344
8/20/2020,11900.41118
8/21/2020,11899.25932
8/22/2020,11689.40739
8/23/2020,11713.42979
8/24/2020,11807.63232
8/25/2020,11778.2999
8/26/2020,11530.05307
8/27/2020,11570.78631
8/28/2020,11545.61541
8/29/2020,11585.64068
8/30/2020,11715.26485
8/31/2020,11768.87674
9/1/2020,12067.08129
9/2/2020,11964.8228
9/3/2020,11443.02279
9/4/2020,10663.92005
9/5/2020,10581.57141
9/6/2020,10353.92807
9/7/2020,10399.15343
9/8/2020,10414.77521
9/9/2020,10350.54273
9/10/2020,10503.91253
9/11/2020,10434.92255
9/12/2020,10578.83825
9/13/2020,10577.21524
9/14/2020,10800.01106
9/15/2020,10938.63204
9/16/2020,11100.12434
9/17/2020,11037.42113
9/18/2020,11034.90807
9/19/2020,11134.09272
9/20/2020,11095.86979
9/21/2020,10988.30478
9/22/2020,10568.07675
9/23/2020,10537.82809
9/24/2020,10771.0562
9/25/2020,10777.69586
9/26/2020,10772.99866
9/27/2020,10803.97608
9/28/2020,10945.34791
9/29/2020,10860.0007
9/30/2020,10847.25699
10/1/2020,10933.62431
10/2/2020,10657.83799
10/3/2020,10598.9408
10/4/2020,10686.0001
10/5/2020,10793.50785
10/6/2020,10797.57809
10/7/2020,10680.5082
10/8/2020,10945.73703
10/9/2020,11102.67151
10/10/2020,11442.21111
10/11/2020,11428.81377
10/12/2020,11698.46774
10/13/2020,11548.98483
10/14/2020,11539.97795
10/15/2020,11569.91419
10/16/2020,11540.06193
10/17/2020,11386.26157
10/18/2020,11483.35971
10/19/2020,11799.09298
10/20/2020,11999.91802
10/21/2020,13184.56617
10/22/2020,13161.59411
10/23/2020,13015.96144
10/24/2020,13145.06669
10/25/2020,13329.18403
10/26/2020,13225.29776
10/27/2020,13759.66873
10/28/2020,13837.69545
10/29/2020,13612.04802
10/30/2020,13651.51627
10/31/2020,14028.21429
11/1/2020,13862.03363
11/2/2020,13808.32287
11/3/2020,13984.98193
11/4/2020,14218.76647
11/5/2020,15706.40446
11/6/2020,15903.43798
11/7/2020,15737.09557
11/8/2020,15637.32034
11/9/2020,15785.13687
11/10/2020,15450.32935
11/11/2020,15916.26081
11/12/2020,16305.00423
11/13/2020,16463.17784
11/14/2020,16317.80834
11/15/2020,16123.11046
11/16/2020,16816.18145
11/17/2020,17782.92055
11/18/2020,18393.94915
11/19/2020,18119.54785
11/20/2020,18773.22751
11/21/2020,18936.62069
11/22/2020,18688.96913
11/23/2020,18711.42673
11/24/2020,19348.27096
11/25/2020,19390.96556
11/26/2020,18866.28613
11/27/2020,17445.02429
11/28/2020,17853.93919
11/29/2020,18283.62817
11/30/2020,19749.26369
12/1/2020,19845.97548
12/2/2020,19308.33066
12/3/2020,19566.19188
12/4/2020,19511.40471
12/5/2020,19160.44926
12/6/2020,19390.4999
12/7/2020,19411.82768
